"item_number","item_description","item_type","category","uom","weight","dimensions","color","material","manufacturer","manufacturer_part_number","supplier_code","supplier_part_number","lead_time_days","minimum_order_quantity","unit_cost","currency","country_of_origin","compliance_status","is_serialized","is_npi","is_obsolete","status","created_date","last_modified_date","revision","notes"
"ITEM-051","TOOL WHEELS Component 51","TOOL","WHEELS","KG","15.1","141x62x41cm","Silver","Aluminum","Trek Bikes","PART-000051","SUP003","SUP-PART-000051","8","70","4581.43","USD","Taiwan","UN38.3","true","false","true","ACTIVE","2025-08-24","2025-09-02","R2","Notes for ITEM-051"
"ITEM-052","COMPONENT WHEELS Component 52","COMPONENT","WHEELS","EA","18.5","66x15x48cm","Blue","Carbon Fiber","Trek Bikes","PART-000052","SUP008","SUP-PART-000052","42","79","3380.04","USD","Taiwan","ROHS","true","true","false","NPI","2025-02-10","2025-03-07","R3","Notes for ITEM-052"
"ITEM-053","Electric Mountain Bike 53","FINISHED_GOOD","BICYCLES","L","3.2","90x63x48cm","Red","Titanium","LG","PART-000053","SUP009","SUP-PART-000053","45","93","4934.97","USD","USA","REACH","false","true","true","ACTIVE","2025-04-24","2025-05-12","R3","Notes for ITEM-053"
"ITEM-054","RAW_MATERIAL ELECTRONICS Component 54","RAW_MATERIAL","ELECTRONICS","KG","44.2","193x24x44cm","Blue","Titanium","Panasonic","PART-000054","SUP001","SUP-PART-000054","16","37","1457.52","USD","Japan","CE","false","true","false","INACTIVE","2025-09-29","2025-10-18","R1","Notes for ITEM-054"
"ITEM-055","COMPONENT FRAMES Component 55","COMPONENT","FRAMES","EA","13.3","164x17x21cm","Black","Titanium","Samsung","PART-000055","SUP003","SUP-PART-000055","13","55","2641.19","USD","Japan","ROHS","true","false","true","INACTIVE","2024-10-26","2024-11-03","R5","Notes for ITEM-055"
"ITEM-056","TOOL SCOOTERS Component 56","TOOL","SCOOTERS","SET","1.3","40x15x30cm","Black","Titanium","Xiaomi","PART-000056","SUP003","SUP-PART-000056","85","85","1613.04","USD","Germany","ROHS","true","true","false","NPI","2025-07-09","2025-07-30","R3","Notes for ITEM-056"
"ITEM-057","RAW_MATERIAL ELECTRONICS Component 57","RAW_MATERIAL","ELECTRONICS","KG","17.2","29x57x33cm","Blue","Aluminum","Samsung","PART-000057","SUP006","SUP-PART-000057","85","36","2626.32","USD","Taiwan","CE","false","true","false","OBSOLETE","2025-02-19","2025-03-17","R4","Notes for ITEM-057"
"ITEM-058","RAW_MATERIAL SCOOTERS Component 58","RAW_MATERIAL","SCOOTERS","KG","35.0","150x23x17cm","Silver","Aluminum","Xiaomi","PART-000058","SUP004","SUP-PART-000058","81","53","2795.86","USD","Germany","CE","false","true","false","OBSOLETE","2025-06-16","2025-07-04","R3","Notes for ITEM-058"
"ITEM-059","Product 59","FINISHED_GOOD","WHEELS","KG","47.9","196x96x47cm","Black","Carbon Fiber","Samsung","PART-000059","SUP003","SUP-PART-000059","71","62","1457.72","USD","China","UN38.3","false","true","true","INACTIVE","2025-06-10","2025-06-19","R5","Notes for ITEM-059"
"ITEM-060","Electric Mountain Bike 60","FINISHED_GOOD","BICYCLES","M","20.1","54x50x5cm","Blue","Titanium","Xiaomi","PART-000060","SUP008","SUP-PART-000060","90","40","3715.11","USD","Taiwan","UN38.3","true","true","true","INACTIVE","2024-11-28","2024-12-10","R5","Notes for ITEM-060"
"ITEM-061","RAW_MATERIAL BICYCLES Component 61","RAW_MATERIAL","BICYCLES","M","15.5","72x44x49cm","Black","Plastic","Xiaomi","PART-000061","SUP007","SUP-PART-000061","39","9","517.3","USD","Japan","UN38.3","true","true","true","INACTIVE","2024-10-31","2024-11-20","R5","Notes for ITEM-061"
"ITEM-062","ASSEMBLY BICYCLES Component 62","ASSEMBLY","BICYCLES","EA","23.3","156x95x11cm","Black","Carbon Fiber","LG","PART-000062","SUP005","SUP-PART-000062","2","84","4374.29","USD","China","ROHS","false","true","false","ACTIVE","2025-06-06","2025-06-13","R1","Notes for ITEM-062"
"ITEM-063","ASSEMBLY BATTERIES Component 63","ASSEMBLY","BATTERIES","KG","12.0","104x26x7cm","Red","Aluminum","LG","PART-000063","SUP002","SUP-PART-000063","18","95","4803.44","USD","USA","ROHS","false","false","true","OBSOLETE","2025-09-23","2025-10-10","R4","Notes for ITEM-063"
"ITEM-064","TOOL FRAMES Component 64","TOOL","FRAMES","EA","19.4","95x32x24cm","Matte Black","Steel","Trek Bikes","PART-000064","SUP007","SUP-PART-000064","71","22","4890.7","USD","USA","REACH","false","false","true","INACTIVE","2025-07-09","2025-07-31","R3","Notes for ITEM-064"
"ITEM-065","Product 65","FINISHED_GOOD","WHEELS","EA","21.4","89x75x38cm","White","Plastic","Panasonic","PART-000065","SUP004","SUP-PART-000065","72","80","1458.91","USD","Taiwan","ROHS","false","false","false","NPI","2025-03-16","2025-04-04","R1","Notes for ITEM-065"
"ITEM-066","TOOL WHEELS Component 66","TOOL","WHEELS","L","19.6","24x27x11cm","White","Titanium","Panasonic","PART-000066","SUP010","SUP-PART-000066","56","37","4009.38","USD","Japan","UN38.3","true","false","true","INACTIVE","2024-12-27","2025-01-04","R1","Notes for ITEM-066"
"ITEM-067","COMPONENT FRAMES Component 67","COMPONENT","FRAMES","EA","29.1","180x22x10cm","Matte Black","Steel","Samsung","PART-000067","SUP009","SUP-PART-000067","32","7","1267.35","USD","Germany","UN38.3","true","true","false","NPI","2025-10-08","2025-11-03","R2","Notes for ITEM-067"
"ITEM-068","TOOL SCOOTERS Component 68","TOOL","SCOOTERS","SET","22.3","90x58x41cm","Red","Steel","LG","PART-000068","SUP007","SUP-PART-000068","7","70","700.73","USD","Germany","UN38.3","false","true","true","OBSOLETE","2025-06-29","2025-07-01","R5","Notes for ITEM-068"
"ITEM-069","COMPONENT WHEELS Component 69","COMPONENT","WHEELS","EA","17.2","12x98x42cm","White","Aluminum","Trek Bikes","PART-000069","SUP005","SUP-PART-000069","14","53","3275.49","USD","Germany","CE","false","false","false","NPI","2024-12-18","2025-01-01","R2","Notes for ITEM-069"
"ITEM-070","TOOL FRAMES Component 70","TOOL","FRAMES","EA","20.7","16x82x18cm","White","Titanium","Panasonic","PART-000070","SUP009","SUP-PART-000070","84","62","1545.42","USD","Germany","REACH","false","false","false","INACTIVE","2025-08-08","2025-08-15","R5","Notes for ITEM-070"
"ITEM-071","TOOL SCOOTERS Component 71","TOOL","SCOOTERS","L","6.8","174x33x27cm","Black","Aluminum","Panasonic","PART-000071","SUP001","SUP-PART-000071","54","14","781.25","USD","Japan","FCC","true","true","false","INACTIVE","2024-11-05","2024-11-21","R5","Notes for ITEM-071"
"ITEM-072","TOOL BICYCLES Component 72","TOOL","BICYCLES","EA","3.0","180x97x15cm","Silver","Plastic","Panasonic","PART-000072","SUP001","SUP-PART-000072","27","28","167.62","USD","Japan","CE","false","false","false","ACTIVE","2025-04-15","2025-04-18","R5","Notes for ITEM-072"
"ITEM-073","COMPONENT WHEELS Component 73","COMPONENT","WHEELS","EA","43.5","123x63x19cm","Silver","Steel","LG","PART-000073","SUP002","SUP-PART-000073","88","100","2644.91","USD","Taiwan","ROHS","true","true","false","INACTIVE","2024-12-15","2024-12-19","R2","Notes for ITEM-073"
"ITEM-074","RAW_MATERIAL ELECTRONICS Component 74","RAW_MATERIAL","ELECTRONICS","M","2.9","12x64x42cm","Red","Carbon Fiber","Xiaomi","PART-000074","SUP009","SUP-PART-000074","27","90","1017.42","USD","USA","ROHS","true","true","true","OBSOLETE","2025-07-11","2025-07-20","R3","Notes for ITEM-074"
"ITEM-075","ASSEMBLY ELECTRONICS Component 75","ASSEMBLY","ELECTRONICS","EA","19.7","34x55x18cm","Black","Steel","Samsung","PART-000075","SUP002","SUP-PART-000075","59","26","4723.82","USD","Japan","CE","false","false","true","NPI","2025-05-12","2025-06-10","R3","Notes for ITEM-075"
"ITEM-076","TOOL BATTERIES Component 76","TOOL","BATTERIES","KG","40.4","181x30x7cm","Silver","Steel","Trek Bikes","PART-000076","SUP009","SUP-PART-000076","64","81","4870.51","USD","USA","ROHS","false","true","true","INACTIVE","2024-12-16","2024-12-30","R5","Notes for ITEM-076"
"ITEM-077","TOOL ELECTRONICS Component 77","TOOL","ELECTRONICS","SET","27.7","72x13x14cm","White","Steel","Panasonic","PART-000077","SUP001","SUP-PART-000077","12","49","2983.33","USD","Japan","ROHS","false","true","true","NPI","2025-07-09","2025-07-19","R2","Notes for ITEM-077"
"ITEM-078","COMPONENT BATTERIES Component 78","COMPONENT","BATTERIES","KG","12.0","157x28x13cm","Matte Black","Steel","Samsung","PART-000078","SUP007","SUP-PART-000078","8","74","3195.14","USD","USA","REACH","false","false","false","ACTIVE","2025-01-29","2025-02-01","R3","Notes for ITEM-078"
"ITEM-079","TOOL BATTERIES Component 79","TOOL","BATTERIES","M","44.2","10x36x28cm","White","Steel","Samsung","PART-000079","SUP006","SUP-PART-000079","38","93","39.49","USD","Germany","REACH","true","true","true","ACTIVE","2025-07-05","2025-07-30","R4","Notes for ITEM-079"
"ITEM-080","Product 80","FINISHED_GOOD","ELECTRONICS","KG","6.1","126x26x27cm","White","Aluminum","Panasonic","PART-000080","SUP010","SUP-PART-000080","15","30","4913.58","USD","USA","REACH","true","true","false","NPI","2025-10-01","2025-10-26","R5","Notes for ITEM-080"
"ITEM-081","ASSEMBLY ELECTRONICS Component 81","ASSEMBLY","ELECTRONICS","L","37.0","138x23x26cm","Matte Black","Steel","Samsung","PART-000081","SUP002","SUP-PART-000081","27","23","2268.08","USD","Japan","REACH","false","true","true","NPI","2025-01-27","2025-01-31","R2","Notes for ITEM-081"
"ITEM-082","RAW_MATERIAL WHEELS Component 82","RAW_MATERIAL","WHEELS","M","31.2","40x71x37cm","White","Steel","Samsung","PART-000082","SUP007","SUP-PART-000082","33","1","4745.41","USD","Japan","UN38.3","false","true","false","ACTIVE","2024-11-08","2024-11-11","R4","Notes for ITEM-082"
"ITEM-083","COMPONENT WHEELS Component 83","COMPONENT","WHEELS","EA","11.1","83x96x22cm","Matte Black","Steel","Samsung","PART-000083","SUP007","SUP-PART-000083","38","26","1322.92","USD","Germany","REACH","false","false","false","INACTIVE","2025-01-29","2025-02-01","R1","Notes for ITEM-083"
"ITEM-084","ASSEMBLY BATTERIES Component 84","ASSEMBLY","BATTERIES","SET","29.6","73x25x37cm","Matte Black","Titanium","Panasonic","PART-000084","SUP003","SUP-PART-000084","20","24","413.83","USD","Germany","UN38.3","false","true","true","OBSOLETE","2025-03-11","2025-03-20","R1","Notes for ITEM-084"
"ITEM-085","TOOL BATTERIES Component 85","TOOL","BATTERIES","L","40.7","119x30x30cm","Matte Black","Titanium","Trek Bikes","PART-000085","SUP006","SUP-PART-000085","7","84","3038.08","USD","Japan","REACH","true","true","true","INACTIVE","2025-06-03","2025-06-13","R3","Notes for ITEM-085"
"ITEM-086","ASSEMBLY WHEELS Component 86","ASSEMBLY","WHEELS","SET","19.5","28x70x25cm","White","Carbon Fiber","Xiaomi","PART-000086","SUP001","SUP-PART-000086","58","19","4834.73","USD","USA","UN38.3","false","true","false","NPI","2025-07-24","2025-08-21","R4","Notes for ITEM-086"
"ITEM-087","RAW_MATERIAL BICYCLES Component 87","RAW_MATERIAL","BICYCLES","M","0.9","143x14x11cm","Matte Black","Aluminum","Samsung","PART-000087","SUP002","SUP-PART-000087","37","68","2373.14","USD","Taiwan","ROHS","false","true","false","OBSOLETE","2025-04-29","2025-05-06","R1","Notes for ITEM-087"
"ITEM-088","RAW_MATERIAL SCOOTERS Component 88","RAW_MATERIAL","SCOOTERS","EA","12.7","151x41x14cm","White","Plastic","LG","PART-000088","SUP006","SUP-PART-000088","78","32","719.34","USD","Germany","FCC","false","true","true","INACTIVE","2025-05-14","2025-06-08","R4","Notes for ITEM-088"
"ITEM-089","COMPONENT BATTERIES Component 89","COMPONENT","BATTERIES","EA","24.8","74x70x38cm","Blue","Plastic","LG","PART-000089","SUP003","SUP-PART-000089","82","39","1212.25","USD","Germany","ROHS","true","true","false","NPI","2025-10-13","2025-10-23","R1","Notes for ITEM-089"
"ITEM-090","ASSEMBLY BICYCLES Component 90","ASSEMBLY","BICYCLES","EA","1.7","192x55x28cm","White","Aluminum","Xiaomi","PART-000090","SUP007","SUP-PART-000090","34","3","4046.81","USD","USA","FCC","false","true","false","OBSOLETE","2025-09-12","2025-10-07","R2","Notes for ITEM-090"
