"bom_id","parent_item_number","component_item_number","quantity","quantity_unit","sequence_number","supply_type","sourcing_type","supplier_code","supplier_part_number","lead_time_days","effective_date","expiration_date","is_active","is_optional","is_phantom","scrap_factor","yield_factor","setup_time_minutes","cycle_time_minutes","labor_hours","tooling_required","special_instructions","quality_requirements","test_requirements","packaging_requirements","created_by","created_date","last_modified_by","last_modified_date","revision","approval_status","notes"
"BOM-038","ITEM-058","ITEM-285","73.6","L","39","MAKE_OR_BUY","INTERNAL","SUP002","SUP-PART-000838","32","2025-10-08","2026-03-26","false","true","false","0.005","0.958","112","44","0.5","NO","Instructions for ITEM-285","Quality requirements for ITEM-285","Test requirements for ITEM-285","Packaging requirements for ITEM-285","USER002","2025-10-02","USER006","2025-10-10","R4","DRAFT","Notes for BOM BOM-038"
"BOM-020","ITEM-039","ITEM-385","55.73","M","25","BUY","DUAL_SOURCE","SUP002","SUP-PART-000413","26","2025-05-02","2025-12-23","false","true","false","0.072","0.981","6","2","7.5","NO","Instructions for ITEM-385","Quality requirements for ITEM-385","Test requirements for ITEM-385","Packaging requirements for ITEM-385","USER006","2025-04-02","USER002","2025-04-03","R2","REJECTED","Notes for BOM BOM-020"
"BOM-009","ITEM-035","ITEM-231","99.13","M","6","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000513","52","2025-07-08","2025-11-10","true","false","true","0.058","0.97","77","56","4.5","YES","Instructions for ITEM-231","Quality requirements for ITEM-231","Test requirements for ITEM-231","Packaging requirements for ITEM-231","USER010","2025-07-05","USER004","2025-07-07","R1","REJECTED","Notes for BOM BOM-009"
"BOM-028","ITEM-033","ITEM-199","48.89","M","98","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000747","24","2025-05-15","2026-05-14","true","true","false","0.05","0.997","15","14","6.1","NO","Instructions for ITEM-199","Quality requirements for ITEM-199","Test requirements for ITEM-199","Packaging requirements for ITEM-199","USER008","2025-04-22","USER004","2025-04-25","R5","PENDING","Notes for BOM BOM-028"
"BOM-001","ITEM-020","ITEM-479","99.29","M","45","MAKE","INTERNAL","SUP003","SUP-PART-000168","31","2025-06-01","2025-08-06","true","false","false","0.013","0.994","7","41","2.8","NO","Instructions for ITEM-479","Quality requirements for ITEM-479","Test requirements for ITEM-479","Packaging requirements for ITEM-479","USER003","2025-05-25","USER001","2025-05-30","R3","PENDING","Notes for BOM BOM-001"
"BOM-036","ITEM-042","ITEM-463","88.98","EA","95","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000773","52","2025-06-05","2025-10-23","false","true","false","0.077","0.962","26","28","2.9","NO","Instructions for ITEM-463","Quality requirements for ITEM-463","Test requirements for ITEM-463","Packaging requirements for ITEM-463","USER007","2025-05-23","USER005","2025-05-26","R5","REJECTED","Notes for BOM BOM-036"
"BOM-019","ITEM-083","ITEM-435","79.45","L","54","MAKE","EXTERNAL","SUP003","SUP-PART-000787","50","2025-09-08","2026-06-29","true","true","true","0.022","0.96","48","38","5.8","NO","Instructions for ITEM-435","Quality requirements for ITEM-435","Test requirements for ITEM-435","Packaging requirements for ITEM-435","USER007","2025-08-14","USER003","2025-08-21","R2","APPROVED","Notes for BOM BOM-019"
"BOM-041","ITEM-042","ITEM-246","54.9","KG","43","BUY","DUAL_SOURCE","SUP003","SUP-PART-000813","27","2025-08-22","2026-03-10","true","false","true","0.057","0.971","72","42","1.3","NO","Instructions for ITEM-246","Quality requirements for ITEM-246","Test requirements for ITEM-246","Packaging requirements for ITEM-246","USER001","2025-08-13","USER006","2025-08-23","R1","APPROVED","Notes for BOM BOM-041"
"BOM-034","ITEM-060","ITEM-398","0.97","KG","31","MAKE","EXTERNAL","SUP004","SUP-PART-000668","7","2025-05-25","2025-07-22","true","true","false","0.052","0.984","10","10","6.8","YES","Instructions for ITEM-398","Quality requirements for ITEM-398","Test requirements for ITEM-398","Packaging requirements for ITEM-398","USER004","2025-05-15","USER010","2025-05-16","R2","PENDING","Notes for BOM BOM-034"
"BOM-024","ITEM-079","ITEM-387","81.68","KG","57","MAKE","INTERNAL","SUP004","SUP-PART-000765","16","2025-10-09","2025-11-13","false","false","true","0.018","0.981","96","40","3.3","NO","Instructions for ITEM-387","Quality requirements for ITEM-387","Test requirements for ITEM-387","Packaging requirements for ITEM-387","USER009","2025-09-21","USER006","2025-09-24","R5","PENDING","Notes for BOM BOM-024"
"BOM-045","ITEM-041","ITEM-232","36.02","EA","26","MAKE","EXTERNAL","SUP004","SUP-PART-000256","15","2025-05-15","2025-08-11","false","true","true","0.071","0.971","17","50","4.4","SPECIAL","Instructions for ITEM-232","Quality requirements for ITEM-232","Test requirements for ITEM-232","Packaging requirements for ITEM-232","USER008","2025-04-21","USER009","2025-04-29","R2","PENDING","Notes for BOM BOM-045"
"BOM-036","ITEM-019","ITEM-405","61.82","KG","33","MAKE","EXTERNAL","SUP001","SUP-PART-000948","60","2025-07-11","2026-03-09","false","false","true","0.097","0.976","58","29","0.3","SPECIAL","Instructions for ITEM-405","Quality requirements for ITEM-405","Test requirements for ITEM-405","Packaging requirements for ITEM-405","USER003","2025-06-21","USER002","2025-06-23","R4","APPROVED","Notes for BOM BOM-036"
"BOM-014","ITEM-092","ITEM-442","82.77","L","6","MAKE","INTERNAL","SUP003","SUP-PART-000839","9","2025-09-17","2026-04-11","true","false","true","0.029","0.981","106","57","4.8","NO","Instructions for ITEM-442","Quality requirements for ITEM-442","Test requirements for ITEM-442","Packaging requirements for ITEM-442","USER005","2025-08-28","USER009","2025-09-04","R4","REJECTED","Notes for BOM BOM-014"
"BOM-012","ITEM-072","ITEM-113","23.51","KG","52","MAKE_OR_BUY","INTERNAL","SUP004","SUP-PART-000039","17","2025-09-02","2026-07-21","false","true","false","0.097","0.975","37","55","1.1","YES","Instructions for ITEM-113","Quality requirements for ITEM-113","Test requirements for ITEM-113","Packaging requirements for ITEM-113","USER003","2025-08-14","USER007","2025-08-20","R5","PENDING","Notes for BOM BOM-012"
"BOM-026","ITEM-045","ITEM-194","33.82","KG","33","BUY","DUAL_SOURCE","SUP005","SUP-PART-000961","36","2025-04-30","2026-04-28","false","true","true","0.061","0.956","39","21","2.8","SPECIAL","Instructions for ITEM-194","Quality requirements for ITEM-194","Test requirements for ITEM-194","Packaging requirements for ITEM-194","USER003","2025-04-28","USER007","2025-04-29","R2","APPROVED","Notes for BOM BOM-026"
"BOM-046","ITEM-085","ITEM-269","4.82","KG","97","MAKE","DUAL_SOURCE","SUP001","SUP-PART-000897","48","2025-06-28","2025-12-17","true","false","true","0.051","0.95","79","17","1.7","YES","Instructions for ITEM-269","Quality requirements for ITEM-269","Test requirements for ITEM-269","Packaging requirements for ITEM-269","USER003","2025-06-23","USER004","2025-06-29","R1","PENDING","Notes for BOM BOM-046"
"BOM-049","ITEM-026","ITEM-332","83.15","KG","14","BUY","INTERNAL","SUP004","SUP-PART-000483","21","2025-09-19","2026-02-14","false","true","true","0.067","0.974","58","10","4.2","SPECIAL","Instructions for ITEM-332","Quality requirements for ITEM-332","Test requirements for ITEM-332","Packaging requirements for ITEM-332","USER002","2025-09-16","USER002","2025-09-18","R4","PENDING","Notes for BOM BOM-049"
"BOM-020","ITEM-081","ITEM-470","12.83","KG","94","MAKE_OR_BUY","INTERNAL","SUP002","SUP-PART-000370","10","2025-05-26","2025-10-27","false","false","true","0.032","0.999","16","36","0.3","SPECIAL","Instructions for ITEM-470","Quality requirements for ITEM-470","Test requirements for ITEM-470","Packaging requirements for ITEM-470","USER003","2025-05-14","USER008","2025-05-22","R5","APPROVED","Notes for BOM BOM-020"
"BOM-030","ITEM-094","ITEM-109","18.4","KG","31","BUY","EXTERNAL","SUP002","SUP-PART-000301","36","2025-06-30","2025-09-13","false","true","false","0.046","0.984","115","16","3.5","NO","Instructions for ITEM-109","Quality requirements for ITEM-109","Test requirements for ITEM-109","Packaging requirements for ITEM-109","USER006","2025-06-07","USER002","2025-06-13","R1","DRAFT","Notes for BOM BOM-030"
"BOM-032","ITEM-019","ITEM-117","12.56","L","66","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000352","42","2025-09-29","2026-06-08","true","false","true","0.017","0.998","63","44","2.4","SPECIAL","Instructions for ITEM-117","Quality requirements for ITEM-117","Test requirements for ITEM-117","Packaging requirements for ITEM-117","USER004","2025-09-15","USER008","2025-09-17","R3","APPROVED","Notes for BOM BOM-032"
"BOM-017","ITEM-021","ITEM-324","17.46","M","71","MAKE_OR_BUY","INTERNAL","SUP003","SUP-PART-000662","53","2025-08-28","2026-08-20","true","false","false","0.045","0.967","97","8","1.6","NO","Instructions for ITEM-324","Quality requirements for ITEM-324","Test requirements for ITEM-324","Packaging requirements for ITEM-324","USER010","2025-08-03","USER007","2025-08-10","R4","APPROVED","Notes for BOM BOM-017"
"BOM-041","ITEM-077","ITEM-368","14.55","L","43","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000484","38","2025-07-15","2025-09-07","false","false","true","0.053","0.976","106","39","3.6","SPECIAL","Instructions for ITEM-368","Quality requirements for ITEM-368","Test requirements for ITEM-368","Packaging requirements for ITEM-368","USER008","2025-07-01","USER008","2025-07-02","R2","REJECTED","Notes for BOM BOM-041"
"BOM-044","ITEM-026","ITEM-201","83.76","EA","26","BUY","INTERNAL","SUP005","SUP-PART-000660","8","2025-10-04","2026-05-04","true","false","true","0.055","0.967","11","17","5.3","NO","Instructions for ITEM-201","Quality requirements for ITEM-201","Test requirements for ITEM-201","Packaging requirements for ITEM-201","USER010","2025-09-27","USER004","2025-10-07","R5","REJECTED","Notes for BOM BOM-044"
"BOM-045","ITEM-093","ITEM-452","48.2","KG","46","BUY","DUAL_SOURCE","SUP002","SUP-PART-000198","5","2025-09-05","2026-06-09","false","true","false","0.096","0.984","48","31","3.4","YES","Instructions for ITEM-452","Quality requirements for ITEM-452","Test requirements for ITEM-452","Packaging requirements for ITEM-452","USER006","2025-08-14","USER006","2025-08-17","R1","DRAFT","Notes for BOM BOM-045"
"BOM-030","ITEM-023","ITEM-254","30.32","M","64","BUY","INTERNAL","SUP005","SUP-PART-000575","55","2025-07-14","2026-06-27","false","true","true","0.009","0.955","79","56","1.0","YES","Instructions for ITEM-254","Quality requirements for ITEM-254","Test requirements for ITEM-254","Packaging requirements for ITEM-254","USER009","2025-06-20","USER009","2025-06-27","R5","DRAFT","Notes for BOM BOM-030"
"BOM-043","ITEM-028","ITEM-112","31.06","EA","90","MAKE_OR_BUY","EXTERNAL","SUP003","SUP-PART-000977","14","2025-06-27","2025-12-02","false","true","true","0.03","0.987","39","8","4.9","NO","Instructions for ITEM-112","Quality requirements for ITEM-112","Test requirements for ITEM-112","Packaging requirements for ITEM-112","USER008","2025-06-05","USER003","2025-06-15","R3","APPROVED","Notes for BOM BOM-043"
"BOM-017","ITEM-045","ITEM-325","22.69","EA","73","MAKE_OR_BUY","INTERNAL","SUP001","SUP-PART-000890","27","2025-05-29","2025-09-30","true","false","true","0.095","0.998","88","42","4.8","SPECIAL","Instructions for ITEM-325","Quality requirements for ITEM-325","Test requirements for ITEM-325","Packaging requirements for ITEM-325","USER002","2025-05-06","USER002","2025-05-10","R2","APPROVED","Notes for BOM BOM-017"
"BOM-006","ITEM-050","ITEM-415","99.16","M","85","MAKE","EXTERNAL","SUP001","SUP-PART-000167","9","2025-08-09","2026-03-03","false","true","false","0.077","0.969","39","13","4.6","NO","Instructions for ITEM-415","Quality requirements for ITEM-415","Test requirements for ITEM-415","Packaging requirements for ITEM-415","USER009","2025-08-01","USER001","2025-08-02","R5","PENDING","Notes for BOM BOM-006"
"BOM-011","ITEM-021","ITEM-197","91.05","KG","92","MAKE_OR_BUY","DUAL_SOURCE","SUP003","SUP-PART-000662","32","2025-05-12","2026-02-28","true","false","true","0.001","0.955","14","5","2.3","NO","Instructions for ITEM-197","Quality requirements for ITEM-197","Test requirements for ITEM-197","Packaging requirements for ITEM-197","USER010","2025-04-18","USER009","2025-04-21","R2","DRAFT","Notes for BOM BOM-011"
"BOM-048","ITEM-019","ITEM-181","34.43","L","86","BUY","EXTERNAL","SUP002","SUP-PART-000341","27","2025-06-13","2025-10-04","false","true","true","0.008","0.962","8","53","4.0","NO","Instructions for ITEM-181","Quality requirements for ITEM-181","Test requirements for ITEM-181","Packaging requirements for ITEM-181","USER003","2025-05-19","USER002","2025-05-20","R1","PENDING","Notes for BOM BOM-048"
"BOM-011","ITEM-096","ITEM-413","43.07","M","48","MAKE_OR_BUY","DUAL_SOURCE","SUP005","SUP-PART-000266","15","2025-05-02","2026-04-25","true","false","false","0.038","0.986","71","2","1.8","NO","Instructions for ITEM-413","Quality requirements for ITEM-413","Test requirements for ITEM-413","Packaging requirements for ITEM-413","USER005","2025-04-05","USER009","2025-04-15","R1","APPROVED","Notes for BOM BOM-011"
"BOM-007","ITEM-005","ITEM-127","97.34","M","49","MAKE_OR_BUY","DUAL_SOURCE","SUP001","SUP-PART-000739","5","2025-10-21","2026-09-25","true","true","true","0.041","0.971","43","53","4.1","YES","Instructions for ITEM-127","Quality requirements for ITEM-127","Test requirements for ITEM-127","Packaging requirements for ITEM-127","USER006","2025-10-02","USER002","2025-10-10","R4","DRAFT","Notes for BOM BOM-007"
"BOM-023","ITEM-077","ITEM-485","89.54","L","46","MAKE_OR_BUY","EXTERNAL","SUP001","SUP-PART-000223","30","2025-05-20","2025-08-08","false","true","true","0.072","0.984","81","20","5.5","YES","Instructions for ITEM-485","Quality requirements for ITEM-485","Test requirements for ITEM-485","Packaging requirements for ITEM-485","USER005","2025-05-08","USER006","2025-05-16","R3","APPROVED","Notes for BOM BOM-023"
"BOM-039","ITEM-056","ITEM-318","37.94","M","56","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000263","30","2025-10-17","2026-04-13","false","true","false","0.018","0.999","19","47","3.1","SPECIAL","Instructions for ITEM-318","Quality requirements for ITEM-318","Test requirements for ITEM-318","Packaging requirements for ITEM-318","USER007","2025-09-28","USER009","2025-09-29","R3","APPROVED","Notes for BOM BOM-039"
"BOM-017","ITEM-003","ITEM-276","30.86","M","66","BUY","INTERNAL","SUP004","SUP-PART-000224","30","2025-07-19","2026-07-12","true","false","false","0.094","0.984","54","12","5.6","YES","Instructions for ITEM-276","Quality requirements for ITEM-276","Test requirements for ITEM-276","Packaging requirements for ITEM-276","USER002","2025-06-21","USER007","2025-06-27","R2","APPROVED","Notes for BOM BOM-017"
"BOM-019","ITEM-039","ITEM-181","24.05","EA","49","BUY","EXTERNAL","SUP001","SUP-PART-000913","59","2025-05-21","2025-12-20","false","false","true","0.004","0.959","40","4","5.9","NO","Instructions for ITEM-181","Quality requirements for ITEM-181","Test requirements for ITEM-181","Packaging requirements for ITEM-181","USER009","2025-05-20","USER002","2025-05-28","R4","APPROVED","Notes for BOM BOM-019"
"BOM-041","ITEM-032","ITEM-110","55.62","EA","91","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000175","7","2025-08-04","2025-11-28","true","true","true","0.016","0.976","108","40","7.6","YES","Instructions for ITEM-110","Quality requirements for ITEM-110","Test requirements for ITEM-110","Packaging requirements for ITEM-110","USER007","2025-07-27","USER005","2025-08-03","R3","REJECTED","Notes for BOM BOM-041"
"BOM-034","ITEM-099","ITEM-103","99.64","EA","45","MAKE","INTERNAL","SUP003","SUP-PART-000403","19","2025-07-03","2026-06-24","true","false","false","0.012","0.956","106","36","6.9","NO","Instructions for ITEM-103","Quality requirements for ITEM-103","Test requirements for ITEM-103","Packaging requirements for ITEM-103","USER005","2025-06-13","USER001","2025-06-22","R1","REJECTED","Notes for BOM BOM-034"
"BOM-016","ITEM-035","ITEM-146","33.42","KG","10","BUY","INTERNAL","SUP002","SUP-PART-000436","2","2025-08-07","2025-10-22","false","true","false","0.025","0.97","10","23","5.3","YES","Instructions for ITEM-146","Quality requirements for ITEM-146","Test requirements for ITEM-146","Packaging requirements for ITEM-146","USER010","2025-07-09","USER003","2025-07-18","R4","PENDING","Notes for BOM BOM-016"
"BOM-023","ITEM-035","ITEM-456","60.96","EA","58","BUY","DUAL_SOURCE","SUP003","SUP-PART-000932","38","2025-08-17","2026-05-11","false","false","false","0.032","0.963","33","59","0.4","NO","Instructions for ITEM-456","Quality requirements for ITEM-456","Test requirements for ITEM-456","Packaging requirements for ITEM-456","USER010","2025-07-23","USER002","2025-07-29","R4","PENDING","Notes for BOM BOM-023"
"BOM-006","ITEM-072","ITEM-491","64.68","KG","39","BUY","INTERNAL","SUP004","SUP-PART-000335","21","2025-08-06","2025-09-07","true","false","true","0.095","0.992","102","56","5.2","SPECIAL","Instructions for ITEM-491","Quality requirements for ITEM-491","Test requirements for ITEM-491","Packaging requirements for ITEM-491","USER010","2025-07-20","USER008","2025-07-22","R5","DRAFT","Notes for BOM BOM-006"
"BOM-009","ITEM-037","ITEM-132","38.19","KG","49","MAKE","DUAL_SOURCE","SUP001","SUP-PART-000513","22","2025-07-17","2026-01-24","true","true","false","0.011","0.98","118","6","1.0","YES","Instructions for ITEM-132","Quality requirements for ITEM-132","Test requirements for ITEM-132","Packaging requirements for ITEM-132","USER002","2025-07-07","USER003","2025-07-17","R1","APPROVED","Notes for BOM BOM-009"
"BOM-004","ITEM-065","ITEM-356","86.92","EA","37","MAKE","INTERNAL","SUP005","SUP-PART-000789","4","2025-08-22","2026-04-17","false","true","false","0.072","0.953","61","53","6.2","NO","Instructions for ITEM-356","Quality requirements for ITEM-356","Test requirements for ITEM-356","Packaging requirements for ITEM-356","USER005","2025-08-13","USER008","2025-08-16","R5","APPROVED","Notes for BOM BOM-004"
"BOM-018","ITEM-085","ITEM-375","72.62","KG","25","MAKE","INTERNAL","SUP001","SUP-PART-000706","23","2025-07-30","2026-06-30","true","true","false","0.009","0.981","86","56","2.0","YES","Instructions for ITEM-375","Quality requirements for ITEM-375","Test requirements for ITEM-375","Packaging requirements for ITEM-375","USER003","2025-07-12","USER003","2025-07-14","R5","DRAFT","Notes for BOM BOM-018"
"BOM-007","ITEM-094","ITEM-399","44.41","EA","63","MAKE_OR_BUY","EXTERNAL","SUP003","SUP-PART-000934","48","2025-07-10","2025-09-23","true","true","true","0.092","0.961","19","39","2.6","NO","Instructions for ITEM-399","Quality requirements for ITEM-399","Test requirements for ITEM-399","Packaging requirements for ITEM-399","USER001","2025-06-14","USER010","2025-06-15","R1","DRAFT","Notes for BOM BOM-007"
"BOM-011","ITEM-050","ITEM-333","69.98","KG","3","BUY","INTERNAL","SUP004","SUP-PART-001000","47","2025-09-01","2025-10-16","false","false","true","0.099","0.984","34","35","6.9","SPECIAL","Instructions for ITEM-333","Quality requirements for ITEM-333","Test requirements for ITEM-333","Packaging requirements for ITEM-333","USER007","2025-08-11","USER005","2025-08-21","R3","APPROVED","Notes for BOM BOM-011"
"BOM-024","ITEM-011","ITEM-377","98.6","M","1","BUY","EXTERNAL","SUP002","SUP-PART-000070","7","2025-07-21","2025-09-19","false","true","false","0.084","0.963","37","5","3.0","YES","Instructions for ITEM-377","Quality requirements for ITEM-377","Test requirements for ITEM-377","Packaging requirements for ITEM-377","USER010","2025-07-03","USER010","2025-07-05","R5","APPROVED","Notes for BOM BOM-024"
"BOM-008","ITEM-001","ITEM-388","48.61","M","12","MAKE_OR_BUY","DUAL_SOURCE","SUP005","SUP-PART-000044","20","2025-08-12","2026-02-03","true","true","false","0.086","0.993","7","59","6.6","SPECIAL","Instructions for ITEM-388","Quality requirements for ITEM-388","Test requirements for ITEM-388","Packaging requirements for ITEM-388","USER010","2025-07-18","USER001","2025-07-28","R2","DRAFT","Notes for BOM BOM-008"
"BOM-048","ITEM-063","ITEM-212","94.91","L","31","BUY","EXTERNAL","SUP004","SUP-PART-000681","2","2025-09-29","2025-11-24","false","false","true","0.041","0.971","41","33","1.9","NO","Instructions for ITEM-212","Quality requirements for ITEM-212","Test requirements for ITEM-212","Packaging requirements for ITEM-212","USER008","2025-09-12","USER005","2025-09-19","R1","PENDING","Notes for BOM BOM-048"
"BOM-030","ITEM-062","ITEM-238","86.68","M","93","MAKE","DUAL_SOURCE","SUP004","SUP-PART-000137","9","2025-06-12","2025-09-10","true","true","false","0.022","0.981","86","8","5.2","YES","Instructions for ITEM-238","Quality requirements for ITEM-238","Test requirements for ITEM-238","Packaging requirements for ITEM-238","USER004","2025-06-01","USER002","2025-06-08","R1","REJECTED","Notes for BOM BOM-030"
"BOM-040","ITEM-003","ITEM-167","71.18","EA","16","MAKE_OR_BUY","EXTERNAL","SUP004","SUP-PART-000534","3","2025-06-23","2025-10-19","false","false","false","0.063","0.972","58","12","5.2","NO","Instructions for ITEM-167","Quality requirements for ITEM-167","Test requirements for ITEM-167","Packaging requirements for ITEM-167","USER004","2025-06-06","USER006","2025-06-16","R1","REJECTED","Notes for BOM BOM-040"
"BOM-035","ITEM-066","ITEM-258","6.72","EA","58","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000272","13","2025-08-05","2025-10-23","true","true","false","0.095","0.979","102","44","7.1","NO","Instructions for ITEM-258","Quality requirements for ITEM-258","Test requirements for ITEM-258","Packaging requirements for ITEM-258","USER007","2025-07-17","USER003","2025-07-20","R2","REJECTED","Notes for BOM BOM-035"
"BOM-015","ITEM-099","ITEM-487","46.64","L","53","MAKE","DUAL_SOURCE","SUP001","SUP-PART-000859","25","2025-06-22","2026-04-30","true","true","true","0.098","0.968","90","1","5.4","YES","Instructions for ITEM-487","Quality requirements for ITEM-487","Test requirements for ITEM-487","Packaging requirements for ITEM-487","USER001","2025-05-24","USER003","2025-05-26","R5","APPROVED","Notes for BOM BOM-015"
"BOM-014","ITEM-016","ITEM-149","92.76","EA","53","BUY","DUAL_SOURCE","SUP003","SUP-PART-000461","51","2025-09-24","2026-01-08","false","false","true","0.006","0.965","98","21","7.2","NO","Instructions for ITEM-149","Quality requirements for ITEM-149","Test requirements for ITEM-149","Packaging requirements for ITEM-149","USER001","2025-09-18","USER010","2025-09-20","R1","PENDING","Notes for BOM BOM-014"
"BOM-023","ITEM-017","ITEM-294","54.04","KG","18","MAKE","EXTERNAL","SUP002","SUP-PART-000770","44","2025-06-23","2025-08-23","true","true","true","0.012","0.957","98","57","7.0","YES","Instructions for ITEM-294","Quality requirements for ITEM-294","Test requirements for ITEM-294","Packaging requirements for ITEM-294","USER008","2025-06-07","USER004","2025-06-11","R5","REJECTED","Notes for BOM BOM-023"
"BOM-033","ITEM-060","ITEM-398","18.64","L","89","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000113","38","2025-09-22","2026-08-14","false","false","true","0.033","0.977","43","13","6.1","NO","Instructions for ITEM-398","Quality requirements for ITEM-398","Test requirements for ITEM-398","Packaging requirements for ITEM-398","USER010","2025-09-04","USER005","2025-09-05","R2","APPROVED","Notes for BOM BOM-033"
"BOM-034","ITEM-064","ITEM-154","85.55","M","27","MAKE","INTERNAL","SUP003","SUP-PART-000715","17","2025-06-05","2025-08-27","false","false","true","0.072","0.972","37","11","3.4","NO","Instructions for ITEM-154","Quality requirements for ITEM-154","Test requirements for ITEM-154","Packaging requirements for ITEM-154","USER010","2025-05-22","USER009","2025-05-29","R3","PENDING","Notes for BOM BOM-034"
